,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
1210,Sevilla FC,Laliga,26,Switzerland,179,Left Winger,right,7.0,49.0,9.0,2.0,677.0,2,1,0,0,1.5,73.6,0.6,0,6.75,1.2,0.6,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.9,1.9,1.1,3.0,0.8,1.0,0.2,0.1,0.1,0.0,0.3,1.2,0.4,0.8,0.3,18.3,0.7,1.0,12.7,3.8,2.8,0.5,0.0,0.0,0.0,0.0,1.5,0.2,0.3,1.1,0.6,0.5,1.1,2.0794415416798357,0,Tiền đạo,Europe,Europe,Mid-Tier
1211,Atlético de Madrid,Laliga,25,Brazil,177,Left Winger,right,25.0,25.0,18.0,8.0,1276.0,3,2,3,0,1.3,80.9,0.5,1,6.62,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.6,0.1,0.0,0.4,0.8,0.7,1.4,1.0,0.5,0.1,0.0,0.0,0.0,0.3,0.6,0.0,0.5,0.1,23.8,1.3,0.7,17.9,3.9,1.0,0.6,0.0,0.0,0.0,0.0,1.3,0.3,0.1,1.0,0.9,1.0,2.0,3.258096538021482,3,Tiền đạo,American,Other,Upper Tier
1212,RCD Mallorca,Laliga,24,Spain,185,Defensive Midfield,left,15.0,37.0,26.0,1.0,2217.0,0,2,6,1,1.0,81.5,2.3,0,6.77,3.4,2.3,1.1,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.1,1.0,0.2,0.0,2.6,0.6,0.3,1.0,2.0,1.7,0.0,0.0,0.0,0.0,1.1,0.4,0.1,0.4,0.1,43.3,2.6,2.1,32.7,5.9,1.3,1.1,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.5,2.7,1.4,4.1,2.772588722239781,8,Tiền vệ,Europe,Europe,Mid-High Tier
1213,UD Las Palmas,Laliga,29,Spain,174,Centre-Forward,right,2.5,13.0,23.0,5.0,1880.0,8,3,6,0,1.6,74.7,0.4,2,6.71,1.0,0.4,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.6,0.2,0.0,0.7,1.0,0.5,1.5,1.4,0.8,0.3,0.0,0.2,0.1,0.6,0.8,0.2,0.6,0.2,17.7,0.5,0.4,12.7,4.0,1.5,0.9,0.0,0.0,0.0,0.0,1.6,0.9,0.0,0.8,0.9,0.6,1.4,1.252762968495368,6,Tiền đạo,Europe,Europe,Bottom Tier
1214,Villarreal CF,Laliga,28,Spain,188,Central Midfield,both,8.0,37.0,27.0,4.0,2269.0,3,2,7,0,1.1,85.5,0.9,3,6.74,2.3,0.9,1.4,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.1,1.0,0.2,0.0,1.3,0.5,0.5,0.9,0.9,1.2,0.1,0.0,0.1,0.0,0.5,0.8,0.1,0.7,0.0,39.9,1.8,1.1,32.3,4.6,1.1,1.3,0.0,0.0,0.0,0.0,1.1,0.2,0.1,0.8,2.5,1.0,3.5,2.1972245773362196,7,Tiền vệ,Europe,Europe,Mid-Tier
1215,Deportivo Alavés,Laliga,23,Uruguay,186,Centre-Back,right,2.0,49.0,16.0,5.0,1487.0,0,1,5,0,0.5,78.4,1.4,0,6.72,2.6,1.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.2,0.0,4.5,0.3,0.2,0.5,0.8,1.3,0.0,0.0,0.0,0.0,1.1,0.3,0.1,0.2,0.0,26.4,1.3,2.5,19.4,3.2,0.2,0.4,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.2,1.5,0.6,2.1,1.0986122886681098,5,Phòng ngự,American,Other,Bottom Tier
1216,Sevilla FC,Laliga,30,Spain,184,Central Midfield,left,3.5,1.0,15.0,6.0,1402.0,1,6,7,1,1.9,80.0,1.7,2,6.74,3.2,1.7,1.5,0.0,0.0,0.1,0.0,0.2,0.3,0.1,0.2,1.0,0.3,0.0,1.2,0.8,0.6,1.3,0.5,1.9,0.0,0.0,0.0,0.0,0.9,1.0,0.1,0.9,0.0,26.7,0.9,1.1,20.4,4.2,1.2,0.6,0.0,0.0,0.0,0.0,1.9,0.7,0.1,1.0,2.0,0.8,2.8,1.5040773967762742,9,Tiền vệ,Europe,Europe,Lower Tier
1217,UD Las Palmas,Laliga,28,Scotland,189,Centre-Back,left,5.0,25.0,26.0,1.0,2287.0,0,0,5,1,0.2,86.9,2.8,0,6.46,4.4,2.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.3,0.2,0.0,5.3,0.0,0.1,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,49.4,1.7,2.9,41.2,3.6,0.3,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.7,0.1,0.8,1.791759469228055,7,Phòng ngự,Europe,Europe,Lower Tier
1218,Real Valladolid CF,Laliga,28,Morocco,185,Attacking Midfield,right,1.8,25.0,15.0,6.0,1196.0,3,1,6,0,0.9,83.5,0.2,0,6.43,0.9,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.1,1.4,1.3,2.7,1.0,1.4,0.1,0.0,0.1,0.0,0.5,0.5,0.1,0.4,0.0,15.3,0.8,0.7,12.0,1.8,1.6,1.1,0.0,0.0,0.0,0.0,0.9,0.5,0.0,0.4,1.1,0.3,1.4,1.0296194171811583,6,Tiền đạo,Africa,Africa,Bottom Tier
1219,Real Betis Balompié,Laliga,23,Spain,188,Central Midfield,right,10.0,49.0,18.0,10.0,1673.0,0,1,3,0,0.6,88.8,0.4,0,6.51,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,1.2,0.3,0.5,0.7,1.1,1.1,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.6,0.0,37.0,1.3,0.8,31.6,3.3,0.8,0.6,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.2,1.9,0.8,2.7,2.3978952727983707,3,Tiền vệ,Europe,Europe,Mid-Tier
1220,Valencia CF,Laliga,28,Spain,177,Left Winger,right,1.5,25.0,2.0,14.0,353.0,0,1,3,0,0.6,62.4,0.3,0,6.14,0.8,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.3,0.2,0.0,0.3,0.8,0.1,0.8,0.4,0.8,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.1,8.3,0.3,0.6,4.9,2.5,0.8,0.3,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.3,0.7,0.4,1.1,0.9162907318741551,3,Tiền đạo,Europe,Europe,Bottom Tier
1221,Villarreal CF,Laliga,25,Spain,186,Left-Back,both,8.0,25.0,31.0,0.0,2684.0,1,7,11,0,0.6,79.3,1.3,3,6.91,2.1,1.3,0.8,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.7,1.2,0.4,0.0,2.7,0.6,0.3,0.9,0.8,1.2,0.0,0.0,0.0,0.0,1.0,1.4,0.1,1.3,0.1,32.8,1.1,2.3,25.0,4.5,0.7,0.4,0.0,0.0,0.0,0.0,0.6,0.1,0.1,0.4,2.0,0.9,2.9,2.1972245773362196,11,Phòng ngự,Europe,Europe,Mid-Tier
1222,RCD Mallorca,Laliga,31,Spain,180,Central Midfield,right,4.0,37.0,29.0,4.0,2331.0,1,5,3,0,0.9,82.4,0.3,4,6.72,0.6,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.5,0.1,0.0,0.5,1.0,0.9,1.9,1.0,0.6,0.0,0.0,0.0,0.0,0.4,1.4,0.8,0.7,0.1,27.8,2.2,1.4,20.8,3.5,0.9,0.7,0.0,0.0,0.0,0.0,0.9,0.6,0.0,0.3,1.1,0.7,1.8,1.6094379124341003,3,Tiền vệ,Europe,Europe,Lower Tier
1223,Rayo Vallecano,Laliga,33,Spain,185,Centre-Forward,left,0.6,1.0,1.0,13.0,324.0,0,0,1,0,0.8,69.4,0.4,0,6.08,1.1,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.5,0.6,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.4,0.1,5.1,0.1,0.0,3.4,1.6,0.6,0.3,0.0,0.0,0.0,0.0,0.8,0.1,0.2,0.5,0.3,0.1,0.4,0.4700036292457355,1,Tiền đạo,Europe,Europe,Bottom Tier
1224,RCD Espanyol Barcelona,Laliga,33,Spain,185,Centre-Back,right,0.9,1.0,6.0,5.0,651.0,0,0,1,0,0.2,89.0,1.0,0,6.26,2.8,1.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,0.1,0.0,3.3,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,31.5,0.8,1.9,27.3,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.7,0.1,0.8,0.6418538861723948,1,Phòng ngự,Europe,Europe,Bottom Tier
1225,Rayo Vallecano,Laliga,24,Spain,182,Centre-Forward,right,3.5,25.0,14.0,9.0,1140.0,3,2,2,0,1.4,80.6,0.5,0,6.48,1.6,0.5,1.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.7,0.4,0.6,1.0,0.4,0.5,0.1,0.0,0.1,0.0,0.2,0.8,0.0,0.8,0.1,11.0,0.1,0.0,8.7,2.1,1.7,1.0,0.0,0.0,0.0,0.0,1.4,0.4,0.1,0.9,0.4,0.1,0.5,1.5040773967762742,2,Tiền đạo,Europe,Europe,Lower Tier
1226,Celta de Vigo,Laliga,24,Spain,170,Right-Back,right,3.0,1.0,16.0,4.0,1424.0,0,4,0,0,0.6,79.2,0.2,0,6.64,0.8,0.2,0.7,0.1,0.0,0.1,0.0,0.1,0.2,0.1,0.4,0.8,0.0,0.0,1.4,0.8,0.6,1.4,0.3,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.6,0.1,29.3,1.0,1.6,22.2,4.5,0.8,0.7,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.5,1.4,0.5,1.8,1.3862943611198906,0,Phòng ngự,Europe,Europe,Lower Tier
1227,CD Leganés,Laliga,33,Spain,189,Centre-Back,right,1.5,1.0,31.0,1.0,2754.0,2,0,2,1,0.4,84.0,1.8,2,6.62,3.5,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.2,0.1,0.0,5.3,0.0,0.1,0.1,0.3,0.9,0.1,0.0,0.0,0.0,1.2,0.2,0.0,0.2,0.2,44.3,3.0,4.3,34.2,2.7,0.2,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.3,1.1,0.4,1.5,0.9162907318741551,4,Phòng ngự,Europe,Europe,Bottom Tier
1228,Real Sociedad,Laliga,24,Spain,171,Right Winger,left,20.0,61.0,28.0,4.0,2484.0,2,5,4,0,0.5,84.6,0.4,2,6.81,1.1,0.4,0.7,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.2,1.2,0.1,0.0,0.6,0.8,0.7,1.5,0.4,0.9,0.1,0.0,0.0,0.0,0.5,1.5,0.6,0.9,0.3,33.7,1.2,1.3,27.3,3.9,1.3,0.4,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,2.0,0.8,2.8,3.044522437723423,4,Tiền đạo,Europe,Europe,Mid-High Tier
1229,CA Osasuna,Laliga,31,Spain,192,Goalkeeper,right,4.0,13.0,32.0,0.0,2880.0,0,0,5,0,0.0,66.6,0.2,1,6.74,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,8.4,9.9,11.6,0.1,0.1,0.0,3.5,0.4,2.0,1.1,0.0,0.0,0.0,0.0,0.1,0.1,0.2,1.6094379124341003,5,Phòng ngự,Europe,Europe,Lower Tier
1230,CD Leganés,Laliga,24,Guinea,178,Central Midfield,right,3.0,13.0,27.0,3.0,2107.0,2,0,3,1,0.5,85.2,0.8,1,6.51,1.9,0.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.1,0.0,1.2,0.4,0.9,1.4,0.8,1.2,0.1,0.0,0.1,0.0,0.4,0.3,0.0,0.3,0.0,31.9,1.3,1.4,25.9,3.3,1.0,0.8,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,1.6,0.7,2.2,1.3862943611198906,5,Tiền vệ,Africa,Africa,Lower Tier
1231,Real Sociedad,Laliga,30,Netherlands,180,Left Winger,right,4.0,13.0,11.0,10.0,988.0,2,1,1,1,1.0,76.9,0.3,0,6.29,1.1,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.3,0.2,0.5,0.7,0.4,0.1,0.0,0.1,0.0,0.0,0.4,0.0,0.4,0.4,11.5,0.4,0.3,8.5,2.4,0.8,0.2,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.7,0.1,0.1,0.2,1.6094379124341003,3,Tiền đạo,Europe,Europe,Lower Tier
1232,Sevilla FC,Laliga,19,Belgium,171,Attacking Midfield,right,2.5,37.0,3.0,11.0,280.0,1,1,0,0,0.3,83.3,0.1,0,6.36,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.7,0.6,1.4,0.5,0.1,0.1,0.0,0.1,0.0,0.3,0.4,0.1,0.4,0.0,5.1,0.1,0.1,4.1,0.7,0.9,0.8,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.6,0.1,0.8,1.252762968495368,0,Tiền đạo,Europe,Europe,Bottom Tier
1233,Real Valladolid CF,Laliga,28,Croatia,188,Defensive Midfield,right,1.5,25.0,18.0,7.0,1650.0,0,0,5,1,0.3,84.8,1.8,0,6.36,2.6,1.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.9,0.2,0.0,2.0,0.2,0.2,0.4,0.3,1.5,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.2,0.0,29.2,0.7,1.2,24.1,3.2,0.8,0.5,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.2,1.8,1.0,2.9,0.9162907318741551,7,Tiền vệ,Europe,Europe,Bottom Tier
1234,UD Las Palmas,Laliga,20,Spain,185,Defensive Midfield,right,9.0,1.0,9.0,2.0,766.0,1,0,3,0,0.3,73.0,0.9,0,6.56,1.7,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.6,0.3,0.0,2.1,0.8,0.7,1.5,0.9,1.5,0.1,0.0,0.1,0.0,1.1,0.5,0.2,0.4,0.0,30.3,2.4,3.6,19.7,4.5,1.5,0.4,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.1,2.3,1.3,3.5,2.302585092994046,3,Tiền vệ,Europe,Europe,Mid-Tier
1235,Valencia CF,Laliga,31,Macedonia,188,Goalkeeper,right,3.0,13.0,4.0,0.0,360.0,0,0,1,0,0.0,39.8,0.0,0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,16.0,6.8,0.3,0.3,0.0,1.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1,Phòng ngự,Europe,Europe,Lower Tier
1236,Sevilla FC,Laliga,31,Spain,177,Right Winger,left,2.5,1.0,0.0,11.0,218.0,0,0,2,0,0.6,86.6,0.2,0,6.28,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.9,0.7,1.6,0.5,0.2,0.0,0.0,0.0,0.0,0.1,0.9,0.3,0.6,0.1,12.2,0.4,0.2,10.2,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.6,0.5,0.0,0.2,0.2,0.4,0.5,1.252762968495368,2,Tiền đạo,Europe,Europe,Bottom Tier
1237,Villarreal CF,Laliga,26,Canada,183,Right Winger,right,6.0,1.0,3.0,6.0,276.0,0,1,1,0,0.6,77.0,0.3,0,6.31,0.6,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.0,0.1,0.9,1.0,1.9,1.6,1.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.3,0.4,9.7,0.2,0.3,7.2,1.9,1.2,0.6,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.2,0.8,0.3,1.1,1.9459101490553132,1,Tiền đạo,American,Other,Lower Tier
1238,Real Sociedad,Laliga,23,Japan,173,Right Winger,left,40.0,49.0,22.0,9.0,1984.0,5,0,5,0,1.2,76.3,0.3,2,6.75,0.8,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.2,0.0,0.3,2.3,1.9,4.2,1.9,0.5,0.2,0.0,0.2,0.0,0.4,1.4,0.2,1.2,0.2,23.0,0.6,0.5,16.9,5.0,2.5,1.4,0.0,0.0,0.0,0.0,1.2,0.2,0.0,1.0,0.9,0.6,1.5,3.713572066704308,5,Tiền đạo,Asia,Other,Top Tier
1239,RCD Mallorca,Laliga,30,Japan,173,Right Winger,right,2.5,13.0,12.0,7.0,963.0,2,0,0,0,1.3,72.2,0.3,0,6.31,1.7,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.4,0.9,0.3,1.2,0.7,0.2,0.1,0.0,0.1,0.0,0.3,0.3,0.0,0.3,0.3,9.3,0.1,0.4,6.6,2.2,1.2,0.6,0.0,0.0,0.0,0.0,1.3,0.1,0.2,1.0,0.7,0.3,0.9,1.252762968495368,0,Tiền đạo,Asia,Other,Bottom Tier
1240,Real Valladolid CF,Laliga,25,Hungary,193,Central Midfield,right,1.0,37.0,6.0,3.0,567.0,0,0,2,0,0.1,92.4,1.0,0,6.21,1.6,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9,0.2,0.0,1.0,0.2,0.2,0.4,0.6,1.3,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.0,23.4,1.2,0.3,20.4,1.4,0.4,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.6,0.3,1.9,0.6931471805599453,2,Tiền vệ,Europe,Europe,Bottom Tier
1241,Sevilla FC,Laliga,22,France,191,Centre-Back,right,3.0,25.0,6.0,0.0,519.0,0,0,1,1,0.3,90.8,3.0,0,6.61,3.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,4.3,0.0,0.5,0.5,0.8,1.7,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,52.3,1.0,1.5,46.5,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.2,0.2,1.3,1.3862943611198906,3,Phòng ngự,Europe,Europe,Lower Tier
1242,Real Madrid,Laliga,32,Belgium,200,Goalkeeper,left,25.0,13.0,27.0,0.0,2430.0,0,0,1,0,0.0,80.9,0.3,1,6.81,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.7,5.3,20.8,0.3,0.0,0.0,2.4,0.2,1.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258096538021482,1,Phòng ngự,Europe,Europe,Upper Tier
1243,Villarreal CF,Laliga,22,Guinea,195,Centre-Forward,right,14.0,49.0,23.0,9.0,2120.0,10,3,4,0,2.1,62.2,3.0,4,6.78,4.5,3.0,1.6,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.1,0.0,0.5,0.9,0.4,1.3,1.3,1.4,0.3,0.1,0.2,0.0,0.0,0.7,0.0,0.7,0.5,9.3,0.2,0.1,5.7,3.4,2.4,0.7,0.0,0.0,0.0,0.0,2.1,0.3,0.5,1.4,0.3,0.2,0.5,2.70805020110221,4,Tiền đạo,Africa,Africa,Mid-Tier
1244,Valencia CF,Laliga,26,Portugal,176,Right-Back,right,6.0,13.0,9.0,2.0,771.0,0,0,1,0,0.6,73.4,0.4,0,6.52,1.1,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.8,0.1,0.0,1.5,1.3,0.8,2.1,1.3,1.4,0.0,0.0,0.0,0.0,0.4,0.5,0.2,0.3,0.0,30.7,1.2,3.1,21.4,5.1,1.5,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.4,2.5,0.9,3.4,1.9459101490553132,1,Phòng ngự,Europe,Europe,Lower Tier
1245,Atlético de Madrid,Laliga,29,France,171,Attacking Midfield,left,5.0,25.0,0.0,4.0,58.0,0,0,0,0,0.3,83.7,0.0,0,6.16,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.3,0.0,10.8,0.5,0.5,8.5,1.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.5,0.5,1.0,1.791759469228055,0,Tiền đạo,Europe,Europe,Lower Tier
1246,Deportivo Alavés,Laliga,27,Argentina,176,Left Winger,left,2.0,37.0,9.0,9.0,793.0,1,0,6,0,1.2,67.4,1.1,0,6.32,2.3,1.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.3,0.0,0.4,0.3,0.2,0.6,0.6,1.4,0.1,0.1,0.0,0.0,0.3,0.4,0.0,0.4,0.2,14.5,0.2,0.5,9.6,4.2,1.7,0.5,0.0,0.0,0.0,0.0,1.2,0.4,0.2,0.5,0.7,0.9,1.6,1.0986122886681098,6,Tiền đạo,American,Other,Bottom Tier
1247,RCD Mallorca,Laliga,27,Spain,171,Left-Back,left,2.0,25.0,5.0,6.0,457.0,0,0,0,1,0.0,75.8,0.5,0,6.37,1.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.4,0.0,0.1,2.2,0.3,0.0,0.3,0.2,0.8,0.0,0.0,0.0,0.0,0.4,0.5,0.2,0.3,0.1,16.5,0.7,1.3,11.8,2.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,1.7,1.0986122886681098,2,Phòng ngự,Europe,Europe,Bottom Tier
1248,Deportivo Alavés,Laliga,27,Spain,187,Centre-Forward,right,2.8,37.0,8.0,17.0,907.0,4,0,1,0,1.8,61.2,2.9,0,6.51,5.4,2.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.4,0.2,0.3,0.4,0.5,0.6,0.2,0.0,0.1,0.1,0.0,0.4,0.0,0.4,0.3,8.2,0.0,0.2,5.0,3.0,1.3,0.4,0.0,0.0,0.0,0.0,1.8,0.5,0.1,1.2,0.4,0.0,0.5,1.33500106673234,1,Tiền đạo,Europe,Europe,Bottom Tier
1249,Valencia CF,Laliga,28,Nigeria,191,Centre-Forward,right,5.0,1.0,7.0,5.0,653.0,5,0,4,0,1.6,72.2,1.8,1,6.63,3.4,1.8,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.4,0.8,0.8,1.7,1.0,2.2,0.4,0.2,0.3,0.0,0.1,0.4,0.0,0.4,0.7,12.0,0.2,0.1,8.5,3.3,2.8,1.8,0.0,0.0,0.0,0.0,1.6,0.3,0.2,1.2,0.6,0.2,0.7,1.791759469228055,4,Tiền đạo,Africa,Africa,Lower Tier
1250,CA Osasuna,Laliga,33,Spain,186,Centre-Back,right,1.0,1.0,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0,Phòng ngự,Europe,Europe,Bottom Tier
1251,Athletic Bilbao,Laliga,21,Spain,183,Attacking Midfield,left,6.0,37.0,11.0,16.0,1019.0,1,2,1,0,0.6,74.8,0.9,0,6.28,1.8,0.9,0.9,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.3,0.4,0.3,0.8,0.5,0.4,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.3,0.0,8.4,0.3,0.3,6.0,1.8,0.7,0.7,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.4,0.3,0.1,0.4,1.9459101490553132,1,Tiền đạo,Europe,Europe,Lower Tier
1252,Rayo Vallecano,Laliga,29,Spain,170,Central Midfield,right,2.8,13.0,19.0,8.0,1437.0,3,1,8,1,0.7,86.5,0.4,0,6.46,0.9,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.3,0.0,0.6,0.1,0.3,0.4,0.6,0.6,0.1,0.0,0.1,0.0,0.7,0.6,0.1,0.4,0.0,37.1,1.7,2.3,30.3,2.7,0.9,0.6,0.0,0.0,0.0,0.0,0.7,0.4,0.0,0.3,0.9,0.5,1.4,1.33500106673234,10,Tiền vệ,Europe,Europe,Bottom Tier
1253,Real Sociedad,Laliga,23,Spain,189,Goalkeeper,right,0.6,25.0,1.0,0.0,90.0,0,0,0,0,0.0,70.8,0.0,0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,6.0,12.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700036292457355,0,Phòng ngự,Europe,Europe,Bottom Tier
1254,Athletic Bilbao,Laliga,28,Spain,186,Centre-Back,right,3.0,1.0,6.0,2.0,582.0,0,0,4,0,0.1,87.4,1.6,0,6.93,3.1,1.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,5.3,0.1,0.1,0.3,0.6,1.1,0.0,0.0,0.0,0.0,2.1,0.1,0.1,0.0,0.0,38.8,3.5,2.8,30.4,2.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,1.1,0.4,1.5,1.3862943611198906,4,Phòng ngự,Europe,Europe,Lower Tier
