,Club,League,Age,National,Height,Main_position,Foot,Market_Value,Months_left,Start_app,Sub_app,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Market_Value_log,Card,Position_Group,Continent,Continent_Grouped,Club_Group
1667,AJ Auxerre,Ligue1,24,Ivory Coast,184,Centre-Back,right,5.0,25.0,19.0,1.0,1676.0,3,2,4,0,0.5,84.1,1.2,0,6.72,2.2,1.2,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.2,0.9,0.2,0.0,4.1,0.3,0.4,0.7,1.0,1.0,0.2,0.1,0.1,0.1,1.4,0.2,0.1,0.2,0.0,38.2,2.3,2.7,29.9,3.4,0.6,0.3,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.3,1.7,0.5,2.2,1.791759469228055,4,Phòng ngự,Africa,Africa,Lower Tier
1668,OGC Nice,Ligue1,24,France,175,Left Winger,right,12.0,25.0,8.0,17.0,980.0,6,3,3,0,0.9,80.6,0.1,1,6.66,0.4,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.7,0.1,0.0,0.2,0.8,0.4,1.2,0.8,0.6,0.2,0.2,0.1,0.0,0.6,0.9,0.2,0.8,0.1,19.6,0.7,0.5,15.1,3.3,0.8,0.6,0.0,0.0,0.0,0.0,0.9,0.3,0.2,0.4,0.9,0.5,1.4,2.5649493574615367,3,Tiền đạo,Europe,Europe,Mid-Tier
1669,FC Nantes,Ligue1,26,Wales,185,Right Winger,right,4.0,1.0,13.0,10.0,1165.0,1,2,2,0,0.4,76.6,0.2,0,6.4,0.9,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.1,0.0,0.8,0.6,0.3,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.3,1.3,0.4,0.9,0.1,15.4,0.5,0.9,11.3,2.7,1.1,1.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.2,0.5,0.3,0.9,1.6094379124341003,2,Tiền đạo,Europe,Europe,Lower Tier
1670,Stade Brestois 29,Ligue1,21,France,191,Centre-Back,left,9.0,1.0,5.0,2.0,438.0,0,0,1,0,0.6,88.6,1.1,0,6.49,2.1,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.1,0.0,3.7,0.3,0.0,0.3,0.1,1.7,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.1,0.0,45.3,4.6,2.9,35.6,2.3,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,0.0,0.6,2.302585092994046,1,Phòng ngự,Europe,Europe,Mid-Tier
1671,AS Monaco,Ligue1,21,France,190,Defensive Midfield,right,12.0,49.0,10.0,8.0,898.0,0,1,5,0,0.4,85.6,0.6,0,6.6,1.8,0.6,1.2,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.6,0.3,0.0,0.9,0.4,0.6,1.1,0.8,1.3,0.0,0.0,0.0,0.0,1.2,0.3,0.1,0.3,0.0,29.8,1.4,1.1,24.1,3.2,0.6,0.6,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.1,2.3,0.9,3.2,2.5649493574615367,5,Tiền vệ,Europe,Europe,Mid-Tier
1672,Stade Rennais FC,Ligue1,40,France,187,Goalkeeper,right,0.7,1.0,17.0,0.0,1486.0,0,0,0,0,0.0,66.4,0.1,0,6.34,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,25.4,4.8,8.3,12.1,0.2,0.1,0.1,1.8,0.1,1.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5306282510621704,0,Phòng ngự,Europe,Europe,Bottom Tier
1673,RC Strasbourg Alsace,Ligue1,22,France,183,Centre-Forward,right,6.0,49.0,6.0,17.0,637.0,1,1,2,0,0.7,68.8,0.8,0,6.21,1.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.7,0.5,1.2,0.7,0.7,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.1,7.0,0.1,0.1,4.7,2.1,1.1,0.6,0.0,0.0,0.0,0.0,0.7,0.3,0.1,0.3,0.4,0.3,0.7,1.9459101490553132,2,Tiền đạo,Europe,Europe,Lower Tier
1674,AS Monaco,Ligue1,30,Japan,172,Left Winger,right,15.0,25.0,24.0,4.0,1987.0,5,3,4,0,1.8,74.0,0.6,1,6.67,1.6,0.6,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.8,0.1,0.0,0.5,0.9,0.4,1.3,0.7,1.0,0.2,0.1,0.1,0.0,0.3,1.3,0.1,1.3,0.4,22.5,0.6,0.4,16.1,5.5,1.8,0.7,0.0,0.0,0.0,0.0,1.8,0.4,0.3,1.1,1.0,0.9,1.9,2.772588722239781,4,Tiền đạo,Asia,Other,Mid-High Tier
1675,Montpellier HSC,Ligue1,24,France,179,Right Winger,left,1.8,13.0,14.0,8.0,1242.0,2,0,2,2,1.2,80.5,1.0,0,6.33,1.9,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.1,0.0,1.0,1.2,2.3,0.7,1.6,0.1,0.1,0.0,0.0,0.5,0.7,0.0,0.7,0.1,13.3,0.1,0.1,10.6,2.5,2.0,1.2,0.0,0.0,0.0,0.0,1.2,0.3,0.2,0.7,1.3,0.7,2.0,1.0296194171811583,6,Tiền đạo,Europe,Europe,Bottom Tier
1676,OGC Nice,Ligue1,28,France,181,Central Midfield,right,10.0,13.0,12.0,6.0,1134.0,1,2,2,0,0.6,88.3,0.2,0,6.81,0.7,0.2,0.6,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.5,0.1,0.0,0.4,1.2,1.4,2.6,1.6,0.6,0.1,0.0,0.1,0.0,0.8,1.0,0.1,0.9,0.0,26.1,0.8,0.4,22.2,2.6,1.6,1.2,0.0,0.0,0.0,0.0,0.6,0.1,0.2,0.3,1.9,0.4,2.4,2.3978952727983707,2,Tiền vệ,Europe,Europe,Mid-Tier
