,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
2089,28,175,80.0,49.0,3.0,2318.0,3,6,85.2,3,7.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.7,0.5,1.1,0.8,0.0,0.1,0.0,0.3,0.1,0.9,1.3,0.0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
2090,24,173,7.0,49.0,12.0,401.0,1,3,83.8,0,6.61,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.1,1.4,0.5,0.1,0.0,0.0,0.1,0.0,0.6,0.4,0.0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
2091,27,191,7.0,1.0,6.0,719.0,0,0,87.4,0,6.43,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,3.1,0.3,1.4,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
2092,24,178,18.0,1.0,4.0,648.0,0,2,84.8,0,6.48,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.4,0.8,1.0,0.5,0.0,0.0,0.0,0.3,0.0,1.2,0.6,0.0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
2093,23,179,28.0,1.0,2.0,2419.0,0,3,91.2,1,6.8,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.5,1.3,0.8,1.3,0.0,0.0,0.0,1.5,0.1,0.7,0.4,0.0,13,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
2094,22,192,14.0,49.0,9.0,1458.0,2,1,91.7,1,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.4,0.4,0.1,0.0,0.0,0.3,0.0,0.4,0.2,0.0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
2095,25,190,16.0,1.0,14.0,344.0,2,2,86.7,0,6.33,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.2,0.6,0.1,0.0,0.0,0.1,0.0,1.3,1.0,0.1,4,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
2096,28,190,0.4,1.0,0.0,1.0,0,0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2097,25,185,14.0,25.0,0.0,2743.0,10,3,67.7,2,6.8,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.7,1.4,1.5,0.2,0.1,0.0,0.2,0.5,2.3,1.1,0.2,5,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
2098,27,184,5.0,25.0,6.0,1122.0,0,2,82.8,0,6.64,0.0,0.0,0.0,0.0,0.1,0.4,0.1,0.6,0.8,0.5,1.0,0.0,0.0,0.0,0.7,0.0,0.6,0.2,0.0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
