Total,AccLB,InAccLB,AccSP,InAccSP
7,0.4,0.1,4.9,1.6
23.6,0.5,1.2,17.9,4
5,0.1,0.1,3.6,1.2
6.6,0.1,-,4.6,1.9
25.5,0.5,0.8,21.5,2.8
4,-,-,3,1
23.6,0.2,0.4,18.4,4.6
6.7,-,0.2,5.8,0.7
6.5,0.3,0.4,4.4,1.4
8.6,1,0.7,6.3,0.6
13.5,0.5,-,11.5,1.5
6.5,0.2,0.1,5.2,0.9
14.5,0.6,0.2,12.2,1.6
6.3,0.1,0.2,4.6,1.4
5,-,0.1,3.2,1.8
4,1,-,3,-
8,-,-,7,1
9.9,0.1,0.3,7.7,1.8
8.8,0.4,0.2,5.8,2.4
16.5,-,0.5,13.5,2.5
3,-,-,2.5,0.5
13.5,0.6,0.5,10,2.5
9.8,0.2,0.2,6.3,3.2
1,-,-,1,-
9,-,-,9,-
3,-,-,1,2
8.4,0.2,0.4,7,0.8
18.8,0.2,-,16.3,2.3
7,-,0.5,5.5,1
30.5,1.8,0.3,25,3.5
14,-,1,12.3,0.7
12.9,-,0.1,9.9,2.9
10.4,1.1,0.6,6.9,1.7
12.2,0.6,0.6,8.6,2.4
4,-,-,2.3,1.7
28.7,0.7,0.3,22.3,5.3
17.7,1.4,2,12,2.2
3,-,-,1.7,1.3
20.8,0.5,-,18.5,1.8
7.7,0.2,1,5.8,0.7
20.6,0.5,0.5,17.1,2.5
3.3,-,-,2.9,0.4
2,-,-,1.3,0.7
5.4,0.2,0.4,4.2,0.6
3.3,0.3,1,1.7,0.3
22,0.7,1,18,2.3
4.9,0.2,0.3,2.7,1.7
13.3,0.2,0.2,9.8,3.2
12.7,0.1,-,10,2.6
8.7,0.1,0.2,6.2,2.2
3.4,-,0.1,1.9,1.3
8.4,0.1,0.1,7.4,0.8
12.7,0.7,0.2,9.9,1.9
8.4,0.6,0.4,6.2,1.2
8.8,0.2,0.3,6.5,1.8
5,0.1,-,2.7,2.2
8.6,0.4,0.1,6.8,1.2
12,-,-,11,1
9.6,0.4,-,8,1.1
5.7,-,-,5,0.7
15.4,0.6,1,12.8,1
3.7,-,-,2.7,1
10,1,1,6,2
2.9,0.1,0.1,1.9,0.9
5.8,0.1,0.5,3,2.1
6.6,0.1,0.1,5.6,0.8
5.6,0.1,0.1,3.2,2.2
4.8,-,-,3,1.8
7.5,0.5,-,7,-
39,1.3,2.3,33,2.3
6,-,-,5.8,0.3
4,-,-,3,1
2.6,0.1,0.1,1.1,1.2
3,-,-,2.7,0.3
6,0.4,0.4,3.6,1.6
9,-,0.7,7.3,1
6.8,-,0.3,3.8,2.8
12,-,-,11,1
6,0.2,0.2,4.2,1.5
8.6,0.3,-,5,3.3
4,-,0.5,3.5,-
10,0.5,-,5.5,4
13,-,0.5,11.5,1
11,1,-,8,2
6.6,-,0.2,5.4,1
2,-,-,2,-
15.8,0.5,1.5,11.8,2
9,-,-,7,2
5,-,-,4,1
1,-,-,1,-
8.7,0.2,0.3,6.8,1.4
8.8,0.3,0.3,6.8,1.5
8.5,-,-,7,1.5
4.7,0.1,0.1,3.6,0.9
1.8,0.2,-,0.5,1.2
1.8,-,-,1.5,0.3
27.9,3.6,5.3,18.8,0.3
3.8,0.2,0.4,2.2,1
6.7,0.3,0.3,5.3,0.7
2.3,-,-,1.7,0.7
6.3,0.3,0.1,3.8,2.1
2,-,-,2,-
-,-,-,-,-
-,-,-,-,-
4.6,-,-,3.4,1.2
4,-,-,4,-
-,-,-,-,-
1,-,-,1,-
3,1,-,-,2
1,-,1,-,-
2.7,-,-,1.8,0.9
1,-,-,1,-
3,-,2,1,-
26.3,1,1,21.7,2.7
3,-,-,2,1
24.1,1,0.4,20.9,1.9
2,-,-,2,-
1.5,-,-,1,0.5
4.3,-,-,3.3,1
5,-,-,4,1
8,1,-,6,1
3,-,-,2.5,0.5
4,-,-,3,1
4.6,0.2,-,2.8,1.6
-,-,-,-,-
6.5,-,-,4.5,2
3,-,0.3,1.7,1
19,-,-,16,3
16,4,6,5,1
18.3,0.8,0.6,15.3,1.6
3,-,-,3,-
