,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Fouled_Cards,Fouls_Cards,CaughtOffside_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,OutOfBox_Goals,SixYardBox_Goals,PenaltyArea_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,SixYardBox_Shots,PenaltyArea_Shots,OutOfBox_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
367,Sebastian Walukiewicz,Torino,25 years old (05-04-2000),188cm,Poland,"Defender (Centre, Right)",2.1,0.8,1.3,-,-,-,-,-,-,-,0.3,0.2,0.5,0.2,-,1.9,0.5,0.2,0.7,0.3,1,-,-,-,-,0.7,0.1,-,0.1,-,28.7,1.3,1.4,22.7,3.3,0.3,0.2,-,-,-,-,0.2,0.1,-,0.1,1.4,0.3,1.7,Sebastian Walukiewicz,19(8),1602,-,-,6,-,0.2,83.5,0.8,-,6.39
368,Mandela Keita,Parma Calcio 1913,22 years old (10-05-2002),180cm,Belgium,Defensive Midfielder (C),0.9,0.5,0.4,-,-,-,-,-,0.1,0.1,0.2,-,0.3,0.2,-,0.9,0.5,0.5,1,1.2,0.9,-,-,-,-,0.7,0.6,0.1,0.5,-,24.2,0.9,0.4,21.1,1.8,1,0.6,-,-,-,-,0.2,0.2,-,-,1.3,0.5,1.8,Mandela Keita,20(6),1555,-,2,4,1,0.2,90.8,0.5,-,6.39
369,Tasos Douvikas,Como,25 years old (02-08-1999),186cm,Greece,"Attacking Midfielder (Right), Forward",2.2,0.7,1.6,-,-,-,-,-,-,-,-,-,0.3,0.1,-,0.2,0.3,0.4,0.8,1.3,1.1,0.2,0.2,-,-,0.1,0.3,-,0.3,0.1,8.3,0.1,0.2,6.3,1.7,1.6,0.7,-,-,-,-,1,0.1,0.2,0.7,0.3,0.2,0.6,Tasos Douvikas,3(6),369,2,-,1,-,1,77.3,0.7,-,6.39
370,Gaby Jean,Lecce,25 years old (19-02-2000),191cm,France,Defender (Centre),3.6,2.2,1.4,-,-,-,-,-,-,-,0.5,0.1,0.2,-,-,3.6,0.1,0.1,0.2,0.7,0.8,-,-,-,-,0.5,0.1,-,0.1,-,44.6,2.2,3.3,35.5,3.6,0.3,0.3,-,-,-,-,0.1,-,-,0.1,0.7,0.3,1,Gaby Jean,16(3),1389,-,-,-,-,0.1,84.5,2.2,-,6.39
371,Razvan Marin,Cagliari,28 years old (23-05-1996),178cm,Romania,Midfielder (Centre),0.9,0.3,0.6,-,-,-,-,-,-,0.1,-,-,0.2,0.1,-,0.6,0.3,0.4,0.7,0.4,0.9,0.1,-,0.1,-,0.1,1.1,0.6,0.6,-,21,1.2,1.5,15.9,2.4,0.5,0.4,-,-,-,-,0.7,0.5,-,0.2,0.7,0.4,1.1,Razvan Marin,12(17),1267,3,2,4,-,0.7,81.4,0.3,-,6.39
372,Amin Sarr,Verona,24 years old (11-03-2001),188cm,Sweden,"Attacking Midfielder (Left), Forward",4.4,1.9,2.5,-,-,-,-,-,-,-,0.1,-,0.4,-,-,0.5,0.5,0.4,0.9,0.6,1.4,0.1,-,0.1,-,0.1,0.7,-,0.7,0.4,14.2,0.4,0.2,9.7,3.9,1.6,0.9,-,-,-,-,0.7,0.2,0.1,0.5,0.8,0.1,0.9,Amin Sarr,21(7),1628,4,1,1,-,0.7,70.9,1.9,-,6.38
373,Gianluca Gaetano,Cagliari,24 years old (05-05-2000),183cm,Italy,Attacking Midfielder (Centre),1.2,0.4,0.8,-,-,0.1,-,-,0.1,0.2,-,-,0.3,-,-,0.3,0.5,0.5,1,0.4,0.6,0.1,-,-,-,0.2,0.8,0.1,0.7,0.2,11.9,0.6,0.3,8.2,2.8,1.2,0.6,-,-,-,-,1.2,0.4,0.1,0.6,0.4,0.4,0.8,Gianluca Gaetano,8(17),934,2,4,-,-,1.2,74.2,0.4,1,6.38
374,Yannik Engelhardt,Como,24 years old (07-02-2001),184cm,Germany,Defensive Midfielder (C),0.8,0.4,0.4,-,-,-,-,-,-,-,0.2,0.2,0.2,0.2,-,0.9,0.3,0.4,0.7,0.8,0.9,-,-,-,-,0.4,0.5,-,0.5,-,26.7,0.9,0.5,22.7,2.6,0.9,0.3,-,-,-,-,0.3,0.1,0.1,0.2,1.2,0.5,1.7,Yannik Engelhardt,11(12),1080,1,1,4,-,0.3,88.4,0.4,1,6.38
375,Medon Berisha,Lecce,21 years old (21-10-2003),186cm,,Attacking Midfielder (Centre),0.8,0.4,0.4,-,-,-,-,-,0.1,0.1,-,-,0.4,0.4,-,0.3,0.4,0.2,0.6,0.7,0.9,-,-,-,-,0.7,0.6,0.4,0.2,-,22.4,2.5,1.3,15.9,2.6,0.6,0.1,-,-,-,-,1.6,1.4,-,0.2,0.9,0.3,1.1,Medon Berisha,6(8),605,-,1,5,-,1.6,82.4,0.4,-,6.38
376,Fabiano Parisi,Fiorentina,24 years old (09-11-2000),178cm,Italy,"Defender (Left, Right), Midfielder (Left)",1.1,0.5,0.7,-,-,-,-,-,-,-,0.1,0.3,0.5,0.1,-,0.4,0.7,0.3,1,1.1,0.6,-,-,-,-,0.6,0.2,0.1,0.1,-,14.5,0.6,0.9,11,2,0.8,0.5,-,-,-,-,0.3,0.1,-,0.2,0.9,0.3,1.2,Fabiano Parisi,9(14),931,1,-,2,-,0.3,79.9,0.5,-,6.38
377,Niccolò Pisilli,Roma,20 years old (23-09-2004),181cm,Italy,Attacking Midfielder (Centre),0.7,0.1,0.6,-,-,-,-,-,-,-,0.1,0.1,0.4,0.2,-,0.5,0.4,0.2,0.6,0.5,0.6,0.1,-,0.1,-,0.4,0.4,-,0.4,-,21.3,0.8,0.6,17.4,2.6,1,0.6,-,-,-,-,1,0.4,-,0.6,0.9,0.4,1.3,Niccolò Pisilli,11(14),1160,2,1,6,-,1,85.3,0.1,-,6.38
378,Edoardo Goldaniga,Como,31 years old (02-11-1993),193cm,Italy,"Defender (Centre, Right)",2.8,1.6,1.1,-,-,-,-,-,-,-,0.3,0.1,0.3,0.3,-,2.9,0.1,0.1,0.2,1,1.3,-,-,-,-,0.9,0.1,-,0.1,0.1,43.6,2,2.8,36,2.8,0.3,0.2,-,-,-,-,0.4,-,0.2,0.2,1.1,0.1,1.2,Edoardo Goldaniga,25(4),2261,1,-,9,1,0.4,87.2,1.6,-,6.38
379,Nahuel Estévez,Parma Calcio 1913,29 years old (14-11-1995),181cm,Argentina,"Defensive Midfielder (C), Midfielder (Right)",1.3,1.1,0.2,-,-,-,-,-,-,-,0.2,-,0.5,0.2,-,1.9,-,0.2,0.2,0.7,0.7,-,-,-,-,0.2,0.5,0.1,0.4,-,22.5,0.8,1.5,16.9,3.2,0.2,0.3,-,-,-,-,0.3,0.2,-,0.1,1.1,0.7,1.8,Nahuel Estévez,7(6),647,-,-,2,-,0.3,79.1,1.1,-,6.38
380,Cheikh Niasse,Verona,25 years old (19-01-2000),188cm,,Defensive Midfielder (C),3.8,1.8,2,-,-,-,-,-,-,-,0.5,-,1.3,0.4,-,2,0.6,0.1,0.8,1.3,1.1,-,-,-,-,2,0.1,-,0.1,-,22.8,1.3,0.5,17.4,3.6,1.5,0.6,-,-,-,-,0.4,0.1,-,0.3,1.6,0.8,2.4,Cheikh Niasse,6(2),589,-,-,3,-,0.4,81.9,1.8,-,6.38
381,Mërgim Vojvoda,Como,30 years old (01-02-1995),187cm,Kosovo,"Defender (Centre, Right), Midfielder (Left, Right)",1.1,0.5,0.6,-,-,-,-,-,-,-,0.2,0.2,0.6,0.2,-,1.2,0.3,0.4,0.6,0.2,0.8,-,-,-,-,0.4,0.6,0.1,0.6,0.1,40.5,1.9,1.4,33.1,4.1,0.5,0.5,-,-,-,-,0.3,0.2,0.1,0.1,1.1,0.4,1.5,Mërgim Vojvoda,12(5),1108,-,-,4,-,0.3,86.5,0.5,-,6.38
382,Alessandro Vogliacco,Parma Calcio 1913,26 years old (14-09-1998),186cm,Italy,Defender (Centre),1.6,0.9,0.7,-,-,-,-,-,-,-,0.6,0.1,0.3,0.3,-,1.6,0.1,-,0.1,0.2,1,0.2,0.1,0.1,-,0.8,0.1,0.1,-,-,26.1,1.9,2.5,18.9,2.8,0.2,0.1,-,-,-,-,0.4,0.1,0.2,0.2,1.3,0.2,1.4,Alessandro Vogliacco,8(4),716,2,-,3,-,0.4,79.9,0.9,-,6.38
