,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,Unnamed: 0,CLB,Main_position,Foot,Contract,Market_Value
0,Strasbourg,22 years old (25-12-2002),"1,88m",Ivory Coast,Defender (Centre),2,1.1,0.9,-,-,-,-,-,-,-,0.5,-,0.4,0.1,0.1,3.2,0.2,0.2,0.3,0.4,0.9,0.1,-,0.1,-,0.6,-,-,-,-,33.6,0.6,1.6,29.4,2,0.3,0.2,-,-,-,-,0.3,-,0.1,0.2,1.4,0.1,1.5,Abakar Sylla,10(9),936,1,-,2,1,0.3,89.2,1.1,-,6.38,Ligue1,363,RC Strasbourg Alsace,Centre-Back,left,"Jun 30, 2028",€12.00m
1,Brest,23 years old (17-06-2001),"1,88m",Senegal,"Attacking Midfielder (Left, Right), Forward",3.3,1.5,1.8,-,-,-,-,-,0.1,0.1,-,0.1,0.3,0.1,-,0.3,0.7,0.3,1,0.9,0.7,0.3,0.1,0.2,-,-,0.5,-,0.5,0.2,12,0.2,0.1,8.5,3.1,2.1,0.9,-,-,-,-,1.5,0.2,0.3,1,0.5,0.3,0.8,Abdallah Sima,14(10),1173,7,2,2,-,1.5,73.2,1.5,1,6.53,Ligue1,403,Stade Brestois 29,Left Winger,right,"Jun 30, 2025",€10.00m
2,Reims,20 years old (22-04-2005),"1,92m",France,Defender,0.5,0.5,-,-,-,-,-,-,-,-,0.3,-,0.3,-,-,1.3,0.3,0.3,0.5,0.8,0.8,-,-,-,-,0.3,-,-,-,-,12,0.5,1.3,7.5,2.8,1.3,0.3,-,-,-,-,-,-,-,-,1.3,0.5,1.8,Abdoul Kone,1(3),130,-,-,-,-,-,66.7,0.5,-,6.25,Ligue1,415,Stade Reims,Centre-Back,right,"Jun 30, 2027",€500k
3,Strasbourg,19 years old (22-10-2005),"1,80m",France,Midfielder,0.6,0.2,0.4,-,-,-,-,-,0.1,0.1,-,0.1,0.6,0.1,-,0.6,0.1,0.1,0.3,0.1,0.3,0.1,-,0.1,-,0.5,0.2,-,0.2,0.1,11.5,0.3,-,9.7,1.5,0.4,0.3,-,-,-,-,0.3,0.1,-,0.2,0.4,0.1,0.5,Abdoul Ouattara,3(12),424,1,1,1,-,0.3,87.2,0.2,-,6.26,Ligue1,379,RC Strasbourg Alsace,Right Winger,,"Jun 30, 2029",€800k
4,Angers,35 years old (25-04-1990),"1,82m",Ivory Coast,"Defender (Centre, Left, Right), Midfielder (Right)",1.5,0.6,0.9,-,-,-,-,-,-,-,0.4,0.2,0.3,0.1,-,4,-,0.1,0.1,0.4,0.5,-,-,-,-,1,0.3,0.1,0.3,-,29.5,1.4,1.5,25.1,1.5,0.2,0.2,-,-,-,-,0.1,-,-,0.1,1.2,0.3,1.4,Abdoulaye Bamba,16(3),1511,-,-,2,-,0.1,89.6,0.6,-,6.38,Ligue1,32,Angers SCO,Centre-Back,right,"Jun 30, 2025",€350k
5,Brest,23 years old (10-04-2002),"1,95m",Senegal,Defender (Centre),4.2,2.3,1.8,-,-,-,-,-,-,-,0.7,0.3,0.5,0.2,0.1,6.2,0.3,0.1,0.3,0.8,0.8,0.1,-,0.1,-,0.4,0.1,-,0.1,-,39.3,2.9,2.2,30.7,3.4,0.5,0.2,-,-,-,-,0.5,-,0.1,0.4,2,0.5,2.5,Abdoulaye Ndiaye,16(3),1442,1,-,3,1,0.5,85.8,2.3,-,6.74,Ligue1,387,Stade Brestois 29,Centre-Back,left,"Jun 30, 2025",€3.00m
6,Le Havre,31 years old (03-03-1994),"1,88m",France,Defensive Midfielder (C),2,1.3,0.7,-,-,-,-,-,-,-,0.7,0.1,0.6,0.2,-,1.4,0.6,0.6,1.2,1.8,1.1,0.3,-,0.3,-,1.2,0.2,-,0.2,-,35.7,2.6,1.5,27,4.6,1.1,1.2,-,-,-,-,1.8,1,0.1,0.7,2.3,0.8,3.1,Abdoulaye Toure,23(2),2061,8,1,5,-,1.8,83,1.3,2,6.76,Ligue1,166,Le Havre AC,Defensive Midfield,right,"Jun 30, 2025",€3.00m
7,Paris Saint-Germain,26 years old (04-11-1998),"1,81m",Morocco,"Defender (Left, Right), Midfielder (Right)",0.9,0.4,0.5,-,-,-,-,-,0.3,0.3,0.1,0.2,1,0.2,-,0.6,1,1,2.1,1,0.8,0.2,-,0.1,-,1.2,2.1,0.3,1.8,0.3,76.9,1.5,0.8,68.5,6.2,1.5,0.6,-,-,-,-,1.3,0.6,0.1,0.6,2,1.2,3.1,Achraf Hakimi,23(1),1978,4,6,4,-,1.3,91,0.4,-,7.33,Ligue1,318,Paris Saint-Germain,Right-Back,right,"Jun 30, 2029",€65.00m
8,Auxerre,29 years old (08-11-1995),"1,80m",Japan,Forward,2.2,1.3,0.9,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.5,0.3,0.8,0.4,0.3,0.1,-,0.1,-,0.1,0.3,-,0.3,0.1,10.3,0.1,0.1,7.6,2.4,0.9,0.7,-,-,-,-,0.8,0.2,0.1,0.5,0.4,0.2,0.6,Ado Onaiwu,8(20),853,4,1,1,1,0.8,75.3,1.3,-,6.38,Ligue1,24,AJ Auxerre,Centre-Forward,right,"Jun 30, 2026",€1.80m
9,Marseille,30 years old (03-04-1995),"1,91m",France,"Midfielder (Centre, Left)",2,1.1,0.9,-,-,-,-,-,0.1,0.1,-,-,0.7,0.2,-,1.1,0.9,0.9,1.8,1.1,2,0.3,0.1,0.2,-,0.8,0.8,0.1,0.8,0.4,52.5,0.6,0.8,45.3,5.7,1.7,1.2,-,-,-,-,1.4,0.3,0.2,0.9,1.7,0.4,2.2,Adrien Rabiot,24(2),2213,7,3,4,-,1.4,87.5,1.1,1,7.06,Ligue1,298,Olympique Marseille,Central Midfield,left,"Jun 30, 2026",€25.00m
10,Lens,31 years old (10-12-1993),"1,75m",France,"Midfielder (Centre, Left, Right)",2,0.6,1.4,-,-,-,-,-,0.1,0.1,0.1,-,1.2,0.2,-,0.9,1.1,0.8,1.8,1.4,1.6,0.1,-,-,-,0.6,1.6,0.1,1.4,0.2,48.1,1.3,1,39.1,6.6,2,1.3,-,-,-,-,1.3,0.3,0.2,0.7,2.8,1.2,4,Adrien Thomasson,28(2),2370,2,4,5,-,1.3,84,0.6,2,6.83,Ligue1,350,RC Lens,Attacking Midfield,right,"Jun 30, 2026",€5.00m
11,Rennes,23 years old (20-11-2001),"1,76m",France,"Defender (Left), Midfielder (Left)",1.9,1,0.9,-,-,-,-,-,-,-,0.2,0.1,1.2,0.1,-,1.5,0.9,0.5,1.3,1.1,0.8,0.1,-,-,-,0.9,1.2,0.5,0.7,0.1,37,0.7,1.3,30.4,4.6,1.1,0.7,-,-,-,-,0.7,0.3,-,0.4,1.9,0.5,2.4,Adrien Truffert,28(2),2485,2,1,3,-,0.7,84.2,1,1,6.79,Ligue1,445,Stade Rennais FC,Left-Back,left,"Jun 30, 2026",€15.00m
12,Lyon,27 years old (29-08-1997),"1,80m",England,"Defender (Left, Right), Midfielder (Centre, Left, Right)",0.9,0.4,0.5,0.1,-,-,-,-,0.1,0.1,0.1,-,0.8,-,-,1.7,0.7,0.5,1.2,0.3,0.4,-,-,-,-,0.8,0.8,0.1,0.8,0.1,31.7,1.2,1,26.3,3.3,0.8,0.7,-,-,-,-,0.7,0.3,0.1,0.3,2.1,0.8,3,Ainsley Maitland Niles,17(12),1708,1,4,1,-,0.7,86.6,0.4,-,6.68,Ligue1,267,Olympique Lyon,Right-Back,right,"Jun 30, 2027",€10.00m
13,Nantes,26 years old (23-01-1999),"1,96m",France,Goalkeeper,0.4,0.4,-,-,-,-,-,-,-,-,-,-,0.2,0.1,-,1.2,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-,-,25.8,4.3,8.9,12.6,0.1,-,-,2.7,-,1.5,1.2,-,-,-,-,0.1,-,0.1,Alban Lafont,12,1080,-,-,1,-,-,65.2,0.4,2,6.58,Ligue1,106,FC Nantes,Goalkeeper,right,"Jun 30, 2027",€4.00m
14,Monaco,28 years old (30-05-1996),"1,78m",Russia,"Midfielder (Centre, Left, Right)",1.2,0.5,0.7,-,-,-,-,-,-,-,0.2,0.1,0.6,0.1,-,0.3,0.8,1.2,1.9,1.1,1.3,0.2,-,0.1,0.1,0.6,1.3,0.2,1.1,0.1,33.9,2.2,1.5,24.7,5.5,1.4,0.9,-,-,-,-,1.3,0.7,-,0.5,2,1.2,3.2,Aleksandr Golovin,13(6),1155,3,-,1,-,1.3,79.2,0.5,1,6.9,Ligue1,69,AS Monaco,Attacking Midfield,right,"Jun 30, 2029",€25.00m
15,Lyon,33 years old (28-05-1991),"1,75m",France,"Midfielder (Centre, Left, Right), Forward",1.7,0.6,1.1,-,-,-,-,-,-,0.1,0.1,-,0.4,0.2,-,0.2,0.6,0.4,1,1,1.6,0.5,0.2,0.3,-,0.3,0.8,-,0.8,0.7,17.4,0.5,0.5,12.2,4.3,1.8,0.6,-,-,-,-,1.9,0.2,0.3,1.4,0.5,0.4,0.8,Alexandre Lacazette,22(6),1892,13,2,5,-,1.9,72.5,0.6,1,6.85,Ligue1,280,Olympique Lyon,Centre-Forward,right,"Jun 30, 2025",€8.00m
16,Nice,31 years old (20-12-1993),"1,83m",Tunisia,Midfielder (Left),1.5,0.9,0.7,0.1,-,-,-,-,-,0.1,0.2,0.2,0.6,0.1,-,1.3,0.7,0.5,1.1,0.5,1.1,0.2,-,0.1,-,0.9,0.8,0.2,0.6,0.2,21.1,0.4,1,16.4,3.3,1.2,0.6,-,-,-,-,1.2,0.4,0.1,0.7,1.9,0.6,2.5,Ali Abdi,15(7),1257,4,2,2,-,1.2,79.5,0.9,3,6.85,Ligue1,240,OGC Nice,Left-Back,left,"Jun 30, 2027",€3.00m
17,Rennes,24 years old (04-06-2000),"1,73m",Ghana,"Defender (Centre, Right)",2.1,0.9,1.2,-,-,-,-,-,-,-,0.5,-,0.6,0.4,-,1.5,0.8,0.8,1.6,2.5,0.9,-,-,-,-,1.3,0.5,-,0.5,0.1,41.5,1.5,1.9,34.4,3.7,0.5,0.9,-,-,-,-,0.3,0.1,-,0.2,2,0.3,2.3,Alidu Seidu,10(1),807,-,-,4,-,0.3,86.4,0.9,-,6.85,Ligue1,441,Stade Rennais FC,Centre-Back,right,"Jun 30, 2029",€9.00m
18,Le Havre,28 years old (07-09-1996),"1,74m",France,"Defender (Right), Defensive Midfielder (C)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,Alois Confais,0(1),2,-,-,-,-,-,50,-,-,5.97,Ligue1,168,Le Havre AC,Defensive Midfield,right,"Jun 30, 2025",€200k
19,Reims,19 years old (14-05-2005),-,,Defensive Midfielder (C),1.7,0.8,1,-,-,-,-,-,-,-,0.1,0.1,0.5,0.1,-,1.5,0.5,0.6,1.1,2.1,0.8,-,-,-,-,0.8,0.3,-,0.2,-,24.6,1.3,0.7,20.1,2.4,0.9,0.5,-,-,-,-,0.5,0.4,-,-,2.1,0.5,2.6,Amadou Kone,14(7),1089,-,-,2,1,0.5,87.2,0.8,-,6.63,Ligue1,422,Stade Reims,Defensive Midfield,left,"Jun 30, 2028",€1.50m
20,Marseille,22 years old (18-08-2002),"1,80m",Bosnia-Herzegovina,"Defender (Right), Midfielder (Right)",1.2,0.7,0.6,-,-,-,-,-,0.1,0.1,-,0.1,-,-,-,1,1,1,2,0.2,0.7,-,-,-,-,0.3,0.4,-,0.4,-,19.8,0.4,0.2,16.4,2.7,0.9,0.9,-,-,-,-,0.7,0.3,-,0.3,0.6,0.8,1.3,Amar Dedic,2(7),286,-,1,-,-,0.7,85.4,0.7,-,6.35,Ligue1,292,Olympique Marseille,Right-Back,right,-,€15.00m
21,Nice,17 years old (05-08-2007),"1,82m",,Defender,-,-,-,-,-,-,-,-,-,-,0.5,0.5,1,-,-,-,-,0.5,0.5,-,-,-,-,-,-,0.5,-,-,-,-,11,-,-,9,2,-,0.5,-,-,-,-,-,-,-,-,0.5,-,0.5,Amidou Doumbouya,0(2),44,-,-,-,-,-,81.8,-,-,6.26,Ligue1,238,OGC Nice,Centre-Back,left,"Jun 30, 2026",€300k
22,Marseille,25 years old (16-02-2000),"1,81m",France,"Attacking Midfielder (Centre, Left, Right), Forward",1.2,0.4,0.8,-,-,-,-,-,0.1,0.1,-,-,0.4,0.1,-,0.3,0.9,0.8,1.7,0.6,0.9,0.2,-,0.2,-,0.1,0.4,-,0.4,0.2,17.7,0.4,0.2,13.8,3.4,1.1,1.1,-,-,-,-,1.6,0.5,-,1.2,0.5,0.3,0.8,Amine Gouiri,11(8),1036,3,2,2,-,1.6,80.1,0.4,1,6.53,Ligue1,306,Olympique Marseille,Centre-Forward,right,"Jun 30, 2029",€20.00m
23,Marseille,27 years old (18-06-1997),"1,80m",Morocco,"Attacking Midfielder (Centre, Left, Right), Forward",0.5,0.1,0.4,-,-,-,-,-,0.3,0.3,-,-,0.5,0.1,0.1,0.1,0.9,0.7,1.6,1.3,0.5,0.2,-,0.2,-,0.3,1.3,0.2,1.2,-,19.3,0.3,0.2,16.5,2.3,1.2,1,-,-,-,-,0.7,0.3,-,0.4,0.7,0.1,0.8,Amine Harit,8(4),503,2,3,1,1,0.7,87,0.1,-,6.69,Ligue1,301,Olympique Marseille,Attacking Midfield,right,"Jun 30, 2027",€10.00m
24,Marseille,29 years old (11-02-1996),"1,84m",Panama,"Defender (Centre, Left, Right), Midfielder (Right)",2,1.4,0.6,-,-,-,-,-,0.1,0.1,0.3,0.1,0.4,0.1,-,2.2,0.5,0.5,1,0.9,1,-,-,-,-,0.6,0.9,0.1,0.7,-,58,1,0.9,51.3,4.8,0.9,0.3,-,-,-,-,0.4,0.3,0.1,-,1.6,0.5,2.1,Amir Murillo,24(3),2167,1,3,2,-,0.4,90.2,1.4,-,6.73,Ligue1,293,Olympique Marseille,Right-Back,right,"Jun 30, 2028",€9.00m
25,Lens,24 years old (07-11-2000),"1,76m",Morocco,"Attacking Midfielder (Centre, Left), Forward",0.3,0.1,0.2,-,-,-,-,-,-,0.1,-,0.1,0.3,-,-,0.4,0.7,0.6,1.3,0.9,0.4,-,-,-,-,0.2,1.4,0.3,1,0.1,21.3,0.5,0.8,16,4,1,0.5,-,-,-,-,1.2,0.7,-,0.5,0.8,0.6,1.4,Anass Zaroury,15(10),1277,-,2,-,1,1.2,77.4,0.1,-,6.52,Ligue1,348,RC Lens,Attacking Midfield,right,"Jun 30, 2028",€8.00m
26,Strasbourg,22 years old (23-06-2002),"1,88m",Ireland,Defender (Centre),1.4,1,0.4,-,-,-,-,-,-,-,1,0.1,0.5,0.4,-,4.3,0.1,0.1,0.3,0.9,1.4,-,-,-,-,0.9,-,-,-,-,48.1,1.1,1,44.3,1.8,0.4,0.1,-,-,-,-,-,-,-,-,0.9,0.4,1.3,Andrew Omobamidele,6(2),514,-,-,3,-,-,94.3,1,-,6.71,Ligue1,364,RC Strasbourg Alsace,Centre-Back,right,"Jun 30, 2025",€10.00m
27,Strasbourg,20 years old (03-05-2004),"1,80m",Brazil,Defensive Midfielder (C),1.9,1.2,0.8,-,-,-,-,-,0.1,0.1,0.4,0.1,1,0.2,-,2.2,0.6,0.6,1.2,1.9,0.9,0.3,0.1,0.1,0.1,0.8,0.9,0.2,0.7,-,48.8,1.6,0.8,41.3,5,1.4,0.3,-,-,-,-,1.3,0.6,0.3,0.4,3.5,1.2,4.7,Andrey Santos,29,2587,9,3,7,-,1.3,88.1,1.2,2,7.34,Ligue1,371,RC Strasbourg Alsace,Central Midfield,right,"Jun 30, 2025",€25.00m
28,Le Havre,35 years old (17-12-1989),"1,75m",Ghana,"Midfielder (Centre, Left, Right), Forward",3.8,1.3,2.5,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.8,0.3,0.2,0.5,1.1,0.7,0.2,0.1,0.1,-,0.1,0.3,-,0.3,0.2,8.5,-,-,6.6,1.8,1,1,-,-,-,-,0.8,0.1,0.2,0.5,0.7,0.2,0.9,Andre Ayew,13(11),1258,4,1,2,-,0.8,77.9,1.3,-,6.37,Ligue1,178,Le Havre AC,Centre-Forward,left,"Jun 30, 2025",€700k
29,Lille,31 years old (30-07-1993),"1,90m",Portugal,"Midfielder (Centre, Left, Right)",0.8,0.5,0.4,-,-,-,-,-,-,-,0.1,-,0.3,0.2,-,0.6,0.7,0.5,1.2,0.6,1.2,-,-,-,-,0.3,0.5,0.1,0.5,-,47.4,1.9,1.1,41,3.5,1.3,1,-,-,-,-,0.6,0.5,-,0.1,1.4,1,2.4,Andre Gomes,16(4),1283,-,-,3,-,0.6,90.4,0.5,-,6.45,Ligue1,197,LOSC Lille,Central Midfield,right,"Jun 30, 2026",€8.00m
30,Montpellier,33 years old (09-10-1991),"1,81m",Algeria,"Attacking Midfielder (Right), Forward",7.3,3.2,4.1,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.3,0.2,0.3,0.6,1.3,1.2,-,-,-,-,-,0.8,-,0.8,1.1,12.2,0.2,0.2,6.2,5.6,2,0.9,-,-,-,-,1.9,0.6,0.1,1.2,0.6,0.1,0.7,Andy Delort,8(1),611,-,-,1,-,1.9,52.7,3.2,-,6.24,Ligue1,230,Montpellier HSC,Centre-Forward,right,"Jun 30, 2025",€2.00m
31,Lens,21 years old (17-05-2003),"1,87m",France,Midfielder (Centre),1.5,0.6,0.9,-,-,-,-,-,-,-,-,-,0.7,0.1,-,0.5,1.2,1.3,2.5,0.6,1.2,-,-,-,-,0.4,0.9,-,0.9,0.1,29.9,0.3,0.5,24.1,5.1,2.1,1,-,-,-,-,1.1,0.6,-,0.5,1.2,0.7,1.8,Andy Diouf,24(7),1996,1,1,2,-,1.1,81.6,0.6,1,6.48,Ligue1,346,RC Lens,Central Midfield,left,"Jun 30, 2028",€10.00m
32,Auxerre,21 years old (11-12-2003),"1,75m",,Defender,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.5,-,0.5,-,-,-,-,0.5,-,-,-,-,-,-,-,-,-,5.5,0.5,0.5,4.5,-,0.5,1,-,-,-,-,-,-,-,-,0.5,0.5,1,Ange Loic N'Gatta,0(2),11,-,-,1,-,-,90.9,-,-,5.97,Ligue1,11,AJ Auxerre,Right-Back,right,"Jun 30, 2025",€100k
33,Lille,24 years old (31-08-2000),"1,66m",England,"Midfielder (Centre, Left), Forward",0.9,0.4,0.4,-,-,-,-,-,0.1,0.1,-,-,-,0.1,-,0.1,0.4,0.4,0.7,0.8,0.3,0.1,-,0.1,-,-,1,0.1,0.9,-,25.1,0.8,0.6,19.9,3.9,0.8,0.2,-,-,-,-,0.6,0.4,-,0.2,0.7,0.7,1.4,Angel Gomes,10(4),740,1,1,1,-,0.6,82.3,0.4,-,6.45,Ligue1,199,LOSC Lille,Attacking Midfield,right,"Jun 30, 2025",€20.00m
34,Lens,28 years old (20-08-1996),"1,82m",France,"Attacking Midfielder (Centre, Left, Right), Forward",1,0.4,0.7,-,-,-,-,-,-,-,-,-,0.4,0.2,-,0.1,1.2,0.5,1.7,1.1,0.7,-,-,-,-,0.1,1.2,0.2,1,0.1,25.8,0.9,0.9,20.2,3.8,1.2,1,-,-,-,-,1.1,0.5,-,0.6,0.6,0.4,1,Angelo Fulgini,11(12),1044,1,1,4,-,1.1,81.8,0.4,-,6.46,Ligue1,349,RC Lens,Attacking Midfield,right,"Jun 30, 2027",€6.00m
35,Saint-Etienne,30 years old (29-11-1994),"1,85m",France,Defender (Centre),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Anthony Briancon,0(1),1,-,-,-,-,-,-,-,-,6.0,Ligue1,86,AS Saint-Étienne,Centre-Back,right,"Jun 30, 2026",€500k
36,Nantes,34 years old (01-10-1990),"1,84m",Portugal,Goalkeeper,0.3,0.3,0.1,-,-,-,-,-,-,-,-,-,-,0.1,-,0.9,-,-,-,0.3,0.1,-,-,-,-,-,-,-,-,-,27.1,6.8,11.9,8.4,0.1,0.1,-,2.9,0.4,1.7,0.7,-,-,-,-,0.1,-,0.1,Anthony Lopes,15,1294,-,-,2,-,-,56,0.3,-,6.57,Ligue1,107,FC Nantes,Goalkeeper,left,"Jun 30, 2025",€1.50m
37,Rennes,23 years old (29-05-2001),"1,86m",France,Defender (Centre),4.3,2.9,1.4,-,-,-,-,-,-,-,1.3,-,0.1,-,-,6,-,-,-,0.1,0.6,-,-,-,-,0.9,-,-,-,-,66.1,2.8,2.6,57,3.8,0.1,0.3,-,-,-,-,0.8,-,0.1,0.6,0.9,-,0.9,Anthony Rouault,8,703,-,-,-,-,0.8,90.4,2.9,-,6.9,Ligue1,440,Stade Rennais FC,Centre-Back,right,"Jun 30, 2029",€10.00m
38,Le Havre,22 years old (12-03-2003),"1,89m",France,Attacking Midfielder (Left),1,0.2,0.8,0.1,-,-,-,-,-,0.1,0.1,0.1,0.5,-,-,0.7,1.3,1.3,2.5,0.3,0.3,-,-,-,-,0.4,0.6,-,0.6,0.1,9.1,0.1,0.3,6.2,2.5,1.3,0.7,-,-,-,-,0.5,0.1,-,0.3,0.7,0.3,0.9,Antoine Joujou,9(15),931,-,2,1,-,0.5,69.3,0.2,-,6.42,Ligue1,173,Le Havre AC,Left Winger,right,"Jun 30, 2025",€2.50m
39,Nice,20 years old (27-05-2004),"1,87m",France,"Defender (Centre, Right)",1.5,0.8,0.7,-,-,-,-,-,-,-,0.2,0.1,0.3,0.1,-,1.5,0.5,0.3,0.8,0.5,0.3,-,-,-,-,0.3,0.1,-,0.1,-,21.2,0.5,1.3,16.7,2.7,0.5,0.2,-,-,-,-,0.4,0.1,0.1,0.3,1.7,0.5,2.1,Antoine Mendy,5(10),615,-,-,1,-,0.4,81.4,0.8,-,6.42,Ligue1,243,OGC Nice,Right-Back,right,"Jun 30, 2028",€3.00m
40,Auxerre,19 years old (14-06-2005),"1,78m",Ivory Coast,Midfielder,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,-,0.3,-,0.7,-,-,-,-,-,-,-,-,-,5.7,0.3,-,5,0.3,-,0.3,-,-,-,-,-,-,-,-,-,-,-,Aristide Zossou,0(3),13,-,-,-,-,-,94.1,-,-,5.94,Ligue1,19,AJ Auxerre,Left Winger,right,"Jun 30, 2029",€100k
41,Rennes,23 years old (20-01-2002),"1,75m",France,Forward,2.5,0.7,1.8,-,-,-,-,-,0.1,0.1,0.1,-,0.2,0.1,-,0.4,1.2,0.6,1.8,1.2,0.9,0.5,0.2,0.3,-,0.1,0.6,-,0.6,0.4,18,0.6,0.1,13.9,3.3,1.8,1.8,-,-,-,-,2.3,0.4,0.3,1.6,0.6,0.2,0.8,Arnaud Kalimuendo,29(1),2380,14,3,2,-,2.3,80.7,0.7,2,6.79,Ligue1,460,Stade Rennais FC,Centre-Forward,right,"Jun 30, 2027",€20.00m
42,Toulouse,27 years old (20-04-1998),"1,78m",Norway,"Midfielder (Centre, Left, Right)",0.9,0.4,0.5,-,-,-,-,-,-,0.1,0.1,0.3,0.8,0.2,-,0.9,1.9,1.5,3.4,1.6,1.2,-,-,-,-,0.9,1.4,0.5,0.9,-,30.2,2.4,1.6,20.8,5.5,1.3,1.1,-,-,-,-,0.9,0.4,-,0.5,1.8,0.7,2.5,Aron Donnum,29(1),2518,1,2,5,-,0.9,76.7,0.4,2,6.85,Ligue1,148,FC Toulouse,Left Midfield,left,"Jun 30, 2028",€4.00m
43,Le Havre,23 years old (12-04-2002),"1,89m",Senegal,"Defender (Centre, Right)",3.6,2,1.6,-,-,-,-,-,-,-,0.4,-,0.4,0.3,0.1,3.8,0.1,0.2,0.3,1,1.5,0.2,0.1,0.1,-,1.5,0.2,-,0.2,0.1,47.2,1.8,3.2,39.1,3.1,0.7,0.4,-,-,-,-,0.5,0.1,0.2,0.2,1.5,0.4,1.9,Arouna Sangante,13,1008,2,-,4,1,0.5,86.6,2,-,6.61,Ligue1,157,Le Havre AC,Centre-Back,right,"Jun 30, 2026",€10.00m
44,Le Havre,31 years old (07-04-1994),"1,96m",France,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.6,-,-,-,0.3,0.1,-,-,-,-,-,0.1,0.1,-,-,24.9,3.8,6,15,0.1,0.1,-,3.1,0.1,2.1,0.9,-,-,-,-,-,0.1,0.1,Arthur Desmas,18,1620,-,-,2,-,-,75.5,0.2,-,6.44,Ligue1,155,Le Havre AC,Goalkeeper,right,"Jun 30, 2025",€1.50m
45,Auxerre,27 years old (20-09-1997),"1,75m",Senegal,Defensive Midfielder (C),0.2,0.1,0.1,-,-,-,-,-,-,-,0.1,0.1,0.2,0.1,-,0.9,0.2,0.1,0.4,0.8,1.1,-,-,-,-,0.7,0.1,0.1,0.1,-,20.6,1.9,0.4,17,1.2,0.4,0.2,-,-,-,-,0.2,0.2,-,-,1,0.5,1.5,Assane Diousse,6(8),562,-,-,1,-,0.2,92,0.1,-,6.34,Ligue1,13,AJ Auxerre,Defensive Midfield,left,"Jun 30, 2026",€800k
46,Saint-Etienne,24 years old (03-11-2000),"1,78m",Ghana,Attacking Midfielder (Right),1.1,0.3,0.8,-,-,-,-,-,-,-,-,-,0.3,0.3,-,0.2,0.6,0.8,1.4,0.4,1.1,0.2,-,0.1,0.1,0.4,0.8,-,0.8,0.2,14.6,0.2,0.4,10.9,3,1.1,1.5,-,-,-,-,1.4,0.7,0.1,0.6,0.4,0.5,0.9,Augustine Boakye,8(9),735,3,-,5,-,1.4,76.6,0.3,-,6.38,Ligue1,97,AS Saint-Étienne,Attacking Midfield,left,"Jun 30, 2028",€3.00m
47,Reims,28 years old (10-02-1997),"1,72m",Portugal,"Defender (Right), Midfielder (Right)",1,0.4,0.6,-,-,-,-,-,-,-,0.2,0.3,0.5,0.2,-,2,0.5,0.4,0.9,1,1.2,-,-,-,-,0.8,0.4,0.1,0.3,0.1,29.4,0.8,1,24.3,3.3,1,0.2,-,-,-,-,0.3,0.2,-,0.1,1.4,0.8,2.3,Aurelio Buta,22(3),1838,-,1,5,-,0.3,85.3,0.4,-,6.49,Ligue1,418,Stade Reims,Right-Back,right,"Jun 30, 2025",€5.00m
48,Rennes,20 years old (02-02-2005),"1,69m",Belgium,Midfielder,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,Ayanda Sishuba,0(1),2,-,-,-,-,-,-,-,-,6.08,Ligue1,455,Stade Rennais FC,Attacking Midfield,right,"Jun 30, 2029",€2.00m
49,Lille,17 years old (02-10-2007),"1,86m",France,Defensive Midfielder (C),0.9,0.4,0.5,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.5,0.5,0.6,1.2,0.4,0.7,-,-,-,-,0.5,0.2,-,0.2,-,22.4,0.7,0.2,19.2,2.3,1.3,0.7,-,-,-,-,-,-,-,-,2.2,0.6,2.8,Ayyoub Bouaddi,10(12),1045,-,1,2,-,-,89,0.4,1,6.53,Ligue1,196,LOSC Lille,Central Midfield,right,"Jun 30, 2027",€30.00m
