Total,AccLB,InAccLB,AccSP,InAccSP
13.7,1.4,0.3,10.4,1.6
43.9,1.6,2,37.5,2.8
4.5,-,-,4.5,-
25.1,0.8,0.6,19.9,3.9
45.7,1,3.3,35.6,5.9
47.4,1.9,1.1,41,3.5
13.7,0.4,-,11,2.1
64.7,1.1,1.4,59.6,2.7
15.5,0.5,0.8,11,3.1
31.7,1.8,2.1,23,4.8
30.3,1.2,2.1,22,5.1
24.9,3.8,6,15,0.1
25.2,2,1.9,18.5,2.8
32.6,1.2,1,26.6,3.7
11.5,0.2,0.4,7.8,3.1
25.1,1,2.2,19.9,2
15.1,0.7,0.8,11.6,2.1
7.4,0.2,0.1,6.2,0.9
9.1,0.1,0.3,6.2,2.5
8.3,0.2,0.1,6.6,1.5
25.7,7.3,8.7,9,0.7
33.3,1.7,3.3,26.7,1.7
21.2,0.5,1.3,16.7,2.7
32.6,1.3,1.2,26.7,3.4
27.9,1.9,1.4,21.1,3.4
8.6,-,-,7.5,1.1
20,2,1.5,15,1.5
8.4,0.2,0.1,5.8,2.3
13.9,0.5,1.1,10.2,2.2
49.8,4.3,2.2,40.4,3.1
21.2,0.6,1,16.8,2.8
23.3,2.2,0.6,18.4,2.1
22.8,1.3,0.6,17.5,3.4
23.1,0.5,1.2,19,2.4
48,0.3,0.3,45.7,1.7
15.4,0.5,0.9,11.3,2.7
